"id","location_name","sole_name","parent_id","location_level"
"640111","郊区","宁夏回族自治区银川市郊区","640100","2"
"640121","永宁县","宁夏回族自治区银川市永宁县","640100","2"
"640122","贺兰县","宁夏回族自治区银川市贺兰县","640100","2"
"640200","石嘴山市","宁夏回族自治区石嘴山市","640000","1"
"640201","市辖区","宁夏回族自治区石嘴山市市辖区","640200","2"
"640202","大武口区","宁夏回族自治区石嘴山市大武口区","640200","2"
"640203","石嘴山区","宁夏回族自治区石嘴山市石嘴山区","640200","2"
"640204","石炭井区","宁夏回族自治区石嘴山市石炭井区","640200","2"
"640221","平罗县","宁夏回族自治区石嘴山市平罗县","640200","2"
"640222","陶乐县","宁夏回族自治区石嘴山市陶乐县","640200","2"
"640223","惠农县","宁夏回族自治区石嘴山市惠农县","640200","2"
"640300","吴忠市","宁夏回族自治区吴忠市","640000","1"
"640301","市辖区","宁夏回族自治区吴忠市市辖区","640300","2"
"640302","利通区","宁夏回族自治区吴忠市利通区","640300","2"
"640321","中卫县","宁夏回族自治区吴忠市中卫县","640300","2"
"640322","中宁县","宁夏回族自治区吴忠市中宁县","640300","2"
"640323","盐池县","宁夏回族自治区吴忠市盐池县","640300","2"
"640324","同心县","宁夏回族自治区吴忠市同心县","640300","2"
"640381","青铜峡市","宁夏回族自治区吴忠市青铜峡市","640300","2"
"640382","灵武市","宁夏回族自治区吴忠市灵武市","640300","2"
"642200","固原地区","宁夏回族自治区固原地区","640000","1"
"642221","固原县","宁夏回族自治区固原地区固原县","642200","2"
"642222","海原县","宁夏回族自治区固原地区海原县","642200","2"
"642223","西吉县","宁夏回族自治区固原地区西吉县","642200","2"
"642224","隆德县","宁夏回族自治区固原地区隆德县","642200","2"
"642225","泾源县","宁夏回族自治区固原地区泾源县","642200","2"
"642226","彭阳县","宁夏回族自治区固原地区彭阳县","642200","2"
"650000","新疆维吾尔族自治区","新疆维吾尔族自治区",,"0"
"650100","乌鲁木齐市","新疆维吾尔族自治区乌鲁木齐市","650000","1"
"650101","市辖区","新疆维吾尔族自治区乌鲁木齐市市辖区","650100","2"
"650102","天山区","新疆维吾尔族自治区乌鲁木齐市天山区","650100","2"
"650103","沙依巴克区","新疆维吾尔族自治区乌鲁木齐市沙依巴克区","650100","2"
"650104","新市区","新疆维吾尔族自治区乌鲁木齐市新市区","650100","2"
"650105","水磨沟区","新疆维吾尔族自治区乌鲁木齐市水磨沟区","650100","2"
"650106","头屯河区","新疆维吾尔族自治区乌鲁木齐市头屯河区","650100","2"
"650107","南山矿区","新疆维吾尔族自治区乌鲁木齐市南山矿区","650100","2"
"650108","东山区","新疆维吾尔族自治区乌鲁木齐市东山区","650100","2"
"650121","乌鲁木齐县","新疆维吾尔族自治区乌鲁木齐市乌鲁木齐县","650100","2"
"650200","克拉玛依市","新疆维吾尔族自治区克拉玛依市","650000","1"
"650201","市辖区","新疆维吾尔族自治区克拉玛依市市辖区","650200","2"
"650202","独山子区","新疆维吾尔族自治区克拉玛依市独山子区","650200","2"
"650203","克拉玛依区","新疆维吾尔族自治区克拉玛依市克拉玛依区","650200","2"
"650204","白碱滩区","新疆维吾尔族自治区克拉玛依市白碱滩区","650200","2"
"650205","乌尔禾区","新疆维吾尔族自治区克拉玛依市乌尔禾区","650200","2"
"652100","吐鲁番地区","新疆维吾尔族自治区吐鲁番地区","650000","1"
"652101","吐鲁番市","新疆维吾尔族自治区吐鲁番地区吐鲁番市","652100","2"
"652122","鄯善县","新疆维吾尔族自治区吐鲁番地区鄯善县","652100","2"
"652123","托克逊县","新疆维吾尔族自治区吐鲁番地区托克逊县","652100","2"
"652200","哈密地区","新疆维吾尔族自治区哈密地区","650000","1"
"652201","哈密市","新疆维吾尔族自治区哈密地区哈密市","652200","2"
"652222","巴里坤哈萨克自治县","新疆维吾尔族自治区哈密地区巴里坤哈萨克自治县","652200","2"
"652223","伊吾县","新疆维吾尔族自治区哈密地区伊吾县","652200","2"
"652300","昌吉回族自治州","新疆维吾尔族自治区昌吉回族自治州","650000","1"
"652301","昌吉市","新疆维吾尔族自治区昌吉回族自治州昌吉市","652300","2"
"652302","阜康市","新疆维吾尔族自治区昌吉回族自治州阜康市","652300","2"
"652303","米泉市","新疆维吾尔族自治区昌吉回族自治州米泉市","652300","2"
"652323","呼图壁县","新疆维吾尔族自治区昌吉回族自治州呼图壁县","652300","2"
"652324","玛纳斯县","新疆维吾尔族自治区昌吉回族自治州玛纳斯县","652300","2"
"652325","奇台县","新疆维吾尔族自治区昌吉回族自治州奇台县","652300","2"
"652327","吉木萨尔县","新疆维吾尔族自治区昌吉回族自治州吉木萨尔县","652300","2"
"652328","木垒哈萨克自治县","新疆维吾尔族自治区昌吉回族自治州木垒哈萨克自治县","652300","2"
"652700","博尔塔拉蒙古自治州","新疆维吾尔族自治区博尔塔拉蒙古自治州","650000","1"
"652701","博乐市","新疆维吾尔族自治区博尔塔拉蒙古自治州博乐市","652700","2"
"652722","精河县","新疆维吾尔族自治区博尔塔拉蒙古自治州精河县","652700","2"
"652723","温泉县","新疆维吾尔族自治区博尔塔拉蒙古自治州温泉县","652700","2"
"652800","巴音郭楞蒙古自治州","新疆维吾尔族自治区巴音郭楞蒙古自治州","650000","1"
